05:10:39,H,1,A, 139.694, 35.490,  0,-180,   0,02/10/05,02/10/05,05:10:39,SHIRASE
0.00
1, 8.3923E-13, 86.38, 34.24,6.748,5.984,8.578,5.426,-0.67,-0.24
2, 6.9695E-09, 86.38, 34.24,6.738,6.050,8.619,5.386,-0.63,-0.22
3, 1.8488E-08, 86.38, 34.24,6.747,6.010,8.579,5.410,-0.64,-0.22
4, 2.1658E-08, 86.38, 34.24,6.748,6.010,8.578,5.414,-0.64,-0.24
5, 1.2768E-08, 86.38, 34.24,6.748,5.971,8.578,5.386,-0.65,-0.24
6, 1.9587E-09, 86.38, 34.24,6.736,5.972,8.578,5.386,-0.63,-0.25
7, 6.3171E-09, 86.38, 34.24,6.708,5.959,8.577,5.387,-0.64,-0.21
20.00
1, 7.6294E-13, 92.46, 34.24,6.592,6.321,0.167,0.167,-0.62,-0.19
2, 5.9196E-09, 92.46, 34.24,6.630,6.321,0.167,0.167,-0.65,-0.21
3, 1.5660E-08, 92.46, 34.24,6.631,6.345,0.167,0.167,-0.65,-0.21
4, 1.8192E-08, 92.46, 34.24,6.559,6.361,0.166,0.167,-0.68,-0.23
5, 1.0315E-08, 92.46, 34.24,6.591,6.321,0.167,0.167,-0.64,-0.26
6, 1.5387E-09, 92.46, 34.24,6.629,6.361,0.167,0.166,-0.77,-0.23
7, 4.9004E-09, 92.46, 34.24,6.630,6.360,0.167,0.167,-0.66,-0.23
25.00
1, 5.3406E-13, 98.57, 34.24,6.395,6.673,0.166,0.167,-0.64,-0.22
2, 5.0247E-09, 98.57, 34.24,6.475,6.705,0.167,0.167,-0.64,-0.22
3, 1.3222E-08, 98.57, 34.24,6.436,6.711,0.167,0.166,-0.63,-0.25
4, 1.5477E-08, 98.57, 34.24,6.514,6.673,0.167,0.167,-0.64,-0.24
5, 8.6739E-09, 98.57, 34.24,6.436,6.711,0.167,0.167,-0.62,-0.19
6, 1.2696E-09, 98.57, 34.24,6.396,6.735,0.167,0.166,-0.65,-0.23
7, 4.0260E-09, 98.57, 34.24,6.436,6.686,0.167,0.167,-0.65,-0.19
30.00
1, 6.8665E-13, 104.70, 34.24,6.279,6.984,0.167,0.167,-0.61,-0.22
2, 4.2801E-09, 104.70, 34.24,6.295,7.022,0.167,0.167,-0.65,-0.25
3, 1.1093E-08, 104.70, 34.24,6.240,6.994,0.167,0.167,-0.62,-0.23
4, 1.3110E-08, 104.70, 34.24,6.279,7.023,0.167,0.167,-0.62,-0.26
5, 7.3479E-09, 104.70, 34.24,6.262,7.062,0.167,0.167,-0.66,-0.24
6, 1.0616E-09, 104.70, 34.24,6.267,7.062,0.167,0.167,-0.66,-0.24
7, 3.3691E-09, 104.70, 34.24,6.295,7.022,0.167,0.167,-0.64,-0.22
40.00
1, 6.8665E-13, 117.09, 34.24,5.774,7.685,0.166,0.167,-0.64,-0.24
2, 3.2166E-09, 117.09, 34.24,5.841,7.684,0.167,0.167,-0.63,-0.24
3, 7.8834E-09, 117.09, 34.24,5.851,7.607,0.167,0.166,-0.63,-0.22
4, 9.3575E-09, 117.09, 34.24,5.812,7.631,0.166,0.166,-0.63,-0.24
